conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T1/test/6,T1,0,18.855243682861328,11.822185516357422,18.786441802978516,19.947525024414062,18.822675704956055,40.005144114645056,llama-7b,layer_count,3
T1/test/7,T1,0,19.236568450927734,12.313329696655273,19.161497116088867,20.31968879699707,19.2036075592041,40.87168851185833,llama-7b,layer_count,3
T1/test/8,T1,0,20.490108489990234,13.739914894104004,20.424619674682617,21.546566009521484,20.460403442382812,43.688413932208164,llama-7b,layer_count,3
T1/test/9,T1,0,18.156461715698242,10.975709915161133,18.069910049438477,19.266809463500977,18.128637313842773,38.42528330578557,llama-7b,layer_count,3
T2/test/0,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/1,T2,0,20.71840476989746,13.970754623413086,20.645864486694336,21.759849548339844,20.686317443847656,44.18258461332809,llama-7b,layer_count,3
T2/test/10,T2,0,19.497543334960938,12.628460884094238,19.42682647705078,20.5731143951416,19.479175567626953,41.46956865074963,llama-7b,layer_count,3
T2/test/11,T2,0,18.65289878845215,11.575616836547852,18.608789443969727,19.762531280517578,18.646581649780273,39.57859563910987,llama-7b,layer_count,3
T2/test/12,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/13,T2,0,18.894445419311523,11.843544960021973,18.81616973876953,19.969995498657227,18.8585262298584,40.071967762267896,llama-7b,layer_count,3
T2/test/14,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/15,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/16,T2,0,19.497543334960938,12.628460884094238,19.42682647705078,20.5731143951416,19.479175567626953,41.46956865074963,llama-7b,layer_count,3
T2/test/17,T2,0,18.65289878845215,11.575616836547852,18.608789443969727,19.762531280517578,18.646581649780273,39.57859563910987,llama-7b,layer_count,3
T2/test/18,T2,0,20.71840476989746,13.970754623413086,20.64586639404297,21.759849548339844,20.686317443847656,44.18258550460376,llama-7b,layer_count,3
T2/test/19,T2,0,18.906633377075195,11.927310943603516,18.85327911376953,19.99785614013672,18.901060104370117,40.153853969611085,llama-7b,layer_count,3
T2/test/2,T2,0,20.71840476989746,13.970754623413086,20.64586639404297,21.759849548339844,20.686317443847656,44.18258550460376,llama-7b,layer_count,3
T2/test/20,T2,0,19.497543334960938,12.628461837768555,19.42682647705078,20.5731143951416,19.479175567626953,41.469568941165946,llama-7b,layer_count,3
T2/test/21,T2,0,18.894445419311523,11.843544960021973,18.81616973876953,19.969995498657227,18.8585262298584,40.071967762267896,llama-7b,layer_count,3
T2/test/22,T2,0,18.65289878845215,11.575616836547852,18.608789443969727,19.762531280517578,18.646581649780273,39.57859563910987,llama-7b,layer_count,3
T2/test/23,T2,0,20.71840476989746,13.970754623413086,20.64586639404297,21.759849548339844,20.686317443847656,44.18258550460376,llama-7b,layer_count,3
T2/test/24,T2,0,20.71840476989746,13.970754623413086,20.645864486694336,21.759849548339844,20.686317443847656,44.18258461332809,llama-7b,layer_count,3
T2/test/25,T2,0,18.906633377075195,11.927310943603516,18.85327911376953,19.99785614013672,18.901060104370117,40.153853969611085,llama-7b,layer_count,3
T2/test/26,T2,0,19.497543334960938,12.628460884094238,19.42682647705078,20.5731143951416,19.479175567626953,41.46956865074963,llama-7b,layer_count,3
T2/test/27,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/28,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/29,T2,0,18.894445419311523,11.843544960021973,18.81616973876953,19.969995498657227,18.8585262298584,40.071967762267896,llama-7b,layer_count,3
T2/test/3,T2,0,18.906633377075195,11.927310943603516,18.85327911376953,19.99785614013672,18.901060104370117,40.153853969611085,llama-7b,layer_count,3
T2/test/4,T2,0,19.497543334960938,12.628460884094238,19.42682647705078,20.5731143951416,19.479175567626953,41.46956865074963,llama-7b,layer_count,3
T2/test/5,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/6,T2,0,18.813684463500977,11.759849548339844,18.741798400878906,19.881837844848633,18.795316696166992,39.90056638180745,llama-7b,layer_count,3
T2/test/7,T2,0,20.71840476989746,13.970754623413086,20.64586639404297,21.759849548339844,20.686317443847656,44.18258550460376,llama-7b,layer_count,3
T2/test/8,T2,0,18.894445419311523,11.843544960021973,18.81616973876953,19.969995498657227,18.8585262298584,40.071967762267896,llama-7b,layer_count,3
T2/test/9,T2,0,18.65289878845215,11.575616836547852,18.608789443969727,19.762531280517578,18.646581649780273,39.57859563910987,llama-7b,layer_count,3
T3/test/0,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/1,T3,0,19.69913673400879,12.857074737548828,19.631473541259766,20.77962875366211,19.671674728393555,41.92282039692716,llama-7b,layer_count,3
T3/test/10,T3,0,20.086292266845703,13.241414070129395,20.008865356445312,21.145410537719727,20.060441970825195,42.76328560028657,llama-7b,layer_count,3
T3/test/11,T3,0,18.89612579345703,11.867727279663086,18.824480056762695,19.980825424194336,18.869848251342773,40.09453987583475,llama-7b,layer_count,3
T3/test/12,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
T3/test/13,T3,0,18.497573852539062,11.422682762145996,18.450899124145508,19.59619903564453,18.492380142211914,39.230762653469114,llama-7b,layer_count,3
T3/test/14,T3,0,18.50449562072754,11.419788360595703,18.44594955444336,19.603322982788086,18.492341995239258,39.23439771144433,llama-7b,layer_count,3
