conversation_id,scenario,layer,cka,baseline
T0/test/8,T0,23,0.124930814,cka
T0/test/8,T0,24,0.12910834,cka
T0/test/8,T0,25,0.13868113,cka
T0/test/8,T0,26,0.13719857,cka
T0/test/8,T0,27,0.130869,cka
T0/test/8,T0,28,0.13716061,cka
T0/test/8,T0,29,0.13447154,cka
T0/test/8,T0,30,0.14412649,cka
T0/test/8,T0,31,0.1765593,cka
T0/test/9,T0,0,0.5034724,cka
T0/test/9,T0,1,0.57430166,cka
T0/test/9,T0,2,0.5718819,cka
T0/test/9,T0,3,0.5596257,cka
T0/test/9,T0,4,0.47620454,cka
T0/test/9,T0,5,0.4490521,cka
T0/test/9,T0,6,0.3515359,cka
T0/test/9,T0,7,0.3763228,cka
T0/test/9,T0,8,0.35776204,cka
T0/test/9,T0,9,0.29629213,cka
T0/test/9,T0,10,0.20588134,cka
T0/test/9,T0,11,0.21251427,cka
T0/test/9,T0,12,0.19952933,cka
T0/test/9,T0,13,0.21075034,cka
T0/test/9,T0,14,0.16778487,cka
T0/test/9,T0,15,0.18749918,cka
T0/test/9,T0,16,0.15794255,cka
T0/test/9,T0,17,0.12287204,cka
T0/test/9,T0,18,0.10879431,cka
T0/test/9,T0,19,0.10566022,cka
T0/test/9,T0,20,0.0981242,cka
T0/test/9,T0,21,0.098613985,cka
T0/test/9,T0,22,0.09982608,cka
T0/test/9,T0,23,0.09745445,cka
T0/test/9,T0,24,0.09087494,cka
T0/test/9,T0,25,0.088283315,cka
T0/test/9,T0,26,0.09454199,cka
T0/test/9,T0,27,0.09210315,cka
T0/test/9,T0,28,0.09146889,cka
T0/test/9,T0,29,0.09210043,cka
T0/test/9,T0,30,0.10429506,cka
T0/test/9,T0,31,0.12017972,cka
T0/test/10,T0,0,0.7229484,cka
T0/test/10,T0,1,0.7734104,cka
T0/test/10,T0,2,0.6952785,cka
T0/test/10,T0,3,0.62141436,cka
T0/test/10,T0,4,0.49864396,cka
T0/test/10,T0,5,0.40633538,cka
T0/test/10,T0,6,0.30049276,cka
T0/test/10,T0,7,0.3644794,cka
T0/test/10,T0,8,0.34813946,cka
T0/test/10,T0,9,0.27982005,cka
T0/test/10,T0,10,0.26826257,cka
T0/test/10,T0,11,0.27436078,cka
T0/test/10,T0,12,0.31242192,cka
T0/test/10,T0,13,0.33251286,cka
T0/test/10,T0,14,0.2978535,cka
T0/test/10,T0,15,0.30335304,cka
T0/test/10,T0,16,0.2738739,cka
T0/test/10,T0,17,0.23535377,cka
T0/test/10,T0,18,0.22428815,cka
T0/test/10,T0,19,0.20449713,cka
T0/test/10,T0,20,0.19876616,cka
T0/test/10,T0,21,0.20032173,cka
T0/test/10,T0,22,0.16923708,cka
T0/test/10,T0,23,0.15866573,cka
T0/test/10,T0,24,0.15603536,cka
T0/test/10,T0,25,0.15910687,cka
T0/test/10,T0,26,0.1503327,cka
T0/test/10,T0,27,0.14928727,cka
T0/test/10,T0,28,0.14219312,cka
T0/test/10,T0,29,0.1488369,cka
T0/test/10,T0,30,0.15565266,cka
T0/test/10,T0,31,0.17032504,cka
T0/test/11,T0,0,0.5034724,cka
T0/test/11,T0,1,0.57430166,cka
T0/test/11,T0,2,0.5718819,cka
T0/test/11,T0,3,0.5596257,cka
T0/test/11,T0,4,0.47620454,cka
T0/test/11,T0,5,0.4490521,cka
T0/test/11,T0,6,0.3515359,cka
