permutation,layer,mean_attention
177,nar,0.018201709
177,soc,0.018391201
177,mor,0.0184374
177,pos,0.018542472
178,min,0.01810905
178,nar,0.018666497
178,soc,0.018592732
178,mor,0.018425107
178,pos,0.018753001
179,min,0.018331213
179,nar,0.018826723
179,soc,0.018345186
179,mor,0.018674716
179,pos,0.018424448
180,min,0.01874326
180,nar,0.018431544
180,soc,0.018462649
180,mor,0.018201657
180,pos,0.018604938
181,min,0.018423319
181,nar,0.018790236
181,soc,0.018216236
181,mor,0.018561035
181,pos,0.01860685
182,min,0.018457737
182,nar,0.018710693
182,soc,0.018528342
182,mor,0.01843211
182,pos,0.018441757
183,min,0.018394172
183,nar,0.018449536
183,soc,0.018358758
183,mor,0.018680722
183,pos,0.018502703
184,min,0.018399145
184,nar,0.018596092
184,soc,0.018717458
184,mor,0.018409062
184,pos,0.018386688
185,min,0.018436806
185,nar,0.018735608
185,soc,0.018336918
185,mor,0.018457826
185,pos,0.018614044
186,min,0.018521836
186,nar,0.018843055
186,soc,0.018303523
186,mor,0.018425677
186,pos,0.018553104
187,min,0.018610707
187,nar,0.018592874
187,soc,0.01855436
187,mor,0.018316314
187,pos,0.018445602
188,min,0.01850855
188,nar,0.0187579
188,soc,0.018505326
188,mor,0.018477693
188,pos,0.018341634
189,min,0.01868445
189,nar,0.018435359
189,soc,0.018479483
189,mor,0.018564261
189,pos,0.018230872
190,min,0.018217739
190,nar,0.018149575
190,soc,0.018373327
190,mor,0.01867497
190,pos,0.018799696
191,min,0.018359525
191,nar,0.01851062
191,soc,0.018714163
191,mor,0.018473383
191,pos,0.018392725
192,min,0.01866889
192,nar,0.01848057
192,soc,0.018407209
192,mor,0.018621169
192,pos,0.018234296
193,min,0.018392159
193,nar,0.018444577
193,soc,0.018550226
193,mor,0.01860755
193,pos,0.018399
194,min,0.018241521
194,nar,0.018471718
194,soc,0.018494453
194,mor,0.018725738
194,pos,0.018458707
195,min,0.018436994
195,nar,0.018532416
195,soc,0.018501844
195,mor,0.018599566
195,pos,0.018374026
196,min,0.018562993
196,nar,0.01821228
196,soc,0.01847131
196,mor,0.018654905
196,pos,0.018352518
197,min,0.018645031
197,nar,0.018606186
197,soc,0.018466255
197,mor,0.018343098
197,pos,0.018463066
198,min,0.018520309
198,nar,0.018393159
198,soc,0.018381758
198,mor,0.018621102
198,pos,0.018445866
199,min,0.018442078
199,nar,0.018843412
199,soc,0.018561449
199,mor,0.018343884
199,pos,0.01846826
200,min,0.01853626
200,nar,0.018713027
200,soc,0.01864939
200,mor,0.01827804
200,pos,0.018417265
201,min,0.018526332
201,nar,0.018935362
201,soc,0.018493643
201,mor,0.018273719
201,pos,0.018492592
202,min,0.01853191
202,nar,0.018286029
202,soc,0.018541625
202,mor,0.018441617
202,pos,0.018525435
203,min,0.018416034
203,nar,0.0182422
203,soc,0.01847853
203,mor,0.01851388
203,pos,0.018640604
204,min,0.018291023
204,nar,0.018604835
204,soc,0.018275483
204,mor,0.018711686
204,pos,0.018587185
205,min,0.018327048
205,nar,0.018587073
205,soc,0.018723534
205,mor,0.0184431
205,pos,0.018417673
206,min,0.018404782
206,nar,0.018462101
206,soc,0.018545935
206,mor,0.018450178
206,pos,0.018563012
207,min,0.018326193
207,nar,0.01840035
207,soc,0.018460317
207,mor,0.01866439
207,pos,0.018508868
208,min,0.018289523
208,nar,0.018369516
208,soc,0.018665621
208,mor,0.018445984
208,pos,0.018603057
209,min,0.018308027
209,nar,0.01871725
209,soc,0.018504705
209,mor,0.01839441
209,pos,0.01865538
210,min,0.018510206
210,nar,0.01871554
210,soc,0.018470109
210,mor,0.018464383
210,pos,0.018408563
211,min,0.018398676
211,nar,0.018599033
211,soc,0.018664787
211,mor,0.018451504
211,pos,0.018390063
212,min,0.018505434
212,nar,0.018448234
212,soc,0.018676281
212,mor,0.01841364
212,pos,0.018379714
213,min,0.018404987
213,nar,0.018627724
213,soc,0.018513577
213,mor,0.018662106
213,pos,0.01828198
214,min,0.018240282
214,nar,0.018344244
214,soc,0.01857892
214,mor,0.018392682
214,pos,0.018810745
215,min,0.018668247
215,nar,0.018784245
215,soc,0.018508544
215,mor,0.018389449
215,pos,0.018268278
216,min,0.018502643
216,nar,0.018291742
216,soc,0.018544631
216,mor,0.0185356
216,pos,0.01844184
217,min,0.018427491
217,nar,0.018754324
217,soc,0.018575277
217,mor,0.01838629
217,pos,0.018458737
218,min,0.018445015
218,nar,0.018503398
218,soc,0.018403871
218,mor,0.018598124
218,pos,0.018478062
219,min,0.018426819
219,nar,0.018456042
219,soc,0.018426878
219,mor,0.018429786
219,pos,0.018685933
220,min,0.018410299
220,nar,0.01845459
220,soc,0.018708391
220,mor,0.018331483
220,pos,0.018533906
221,min,0.01868789
221,nar,0.018511394
221,soc,0.01838198
221,mor,0.01838252
221,pos,0.018500056
222,min,0.01882279
222,nar,0.018390378
222,soc,0.018445952
222,mor,0.018536031
222,pos,0.018177608
223,min,0.01854765
223,nar,0.018515905
223,soc,0.018441336
223,mor,0.018438712
223,pos,0.018514786
224,min,0.018594418
224,nar,0.018794974
224,soc,0.018215507
224,mor,0.018553376
224,pos,0.0184432
225,min,0.018461874
225,nar,0.01816392
225,soc,0.018663917
225,mor,0.018443745
225,pos,0.01852308
226,min,0.018352356
226,nar,0.018752536
226,soc,0.01863875
226,mor,0.018219627
226,pos,0.018661635
227,min,0.018456629
227,nar,0.018360913
227,soc,0.018685818
227,mor,0.018438168
227,pos,0.018428372
228,min,0.01843879
228,nar,0.018718362
228,soc,0.018503854
228,mor,0.01862624
228,pos,0.018260045
229,min,0.018571611
229,nar,0.018154025
229,soc,0.018191636
229,mor,0.01871337
229,pos,0.018581722
230,min,0.018395467
230,nar,0.01803855
230,soc,0.018627575
230,mor,0.01840048
230,pos,0.018729005
231,min,0.01838601
231,nar,0.018632809
231,soc,0.018592324
231,mor,0.018501885
231,pos,0.018403139
232,min,0.018632326
232,nar,0.018365046
232,soc,0.018416498
232,mor,0.018495768
232,pos,0.018454393
233,min,0.018487155
233,nar,0.018509785
233,soc,0.018168578
233,mor,0.018621635
233,pos,0.018641608
234,min,0.01845783
234,nar,0.018841267
234,soc,0.01837446
234,mor,0.018666092
234,pos,0.018272178
235,min,0.018371126
235,nar,0.018464029
235,soc,0.01854561
235,mor,0.018535256
235,pos,0.018498931
236,min,0.018817898
236,nar,0.01820457
236,soc,0.01827481
236,mor,0.018397145
236,pos,0.018592
237,min,0.018240836
237,nar,0.018151283
237,soc,0.018460866
237,mor,0.018803328
237,pos,0.018541634
