conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total
T0/test/13,T0,13,23.173633575439453,14.455875396728516,23.20511817932129,24.697416305541992,23.23262596130371,49.337454509914046
T0/test/14,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/15,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/16,T0,13,22.99867057800293,14.139113426208496,22.98933982849121,24.434772491455078,22.951801300048828,48.797606623794906
T0/test/17,T0,13,22.66526222229004,13.788640022277832,22.672149658203125,24.138328552246094,22.648330688476562,48.098574445235464
T0/test/18,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/19,T0,13,22.621984481811523,13.73286247253418,22.571041107177734,24.108373641967773,22.566110610961914,47.96082378372645
T0/test/2,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/20,T0,13,22.99867057800293,14.139113426208496,22.98933982849121,24.434772491455078,22.951801300048828,48.797606623794906
T0/test/21,T0,13,23.173635482788086,14.455875396728516,23.20511817932129,24.697416305541992,23.232627868652344,49.33745630394494
T0/test/22,T0,13,22.66526222229004,13.788640022277832,22.672149658203125,24.138328552246094,22.648330688476562,48.098574445235464
T0/test/23,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/24,T0,13,22.673858642578125,13.838973999023438,22.682659149169922,24.15766143798828,22.689701080322266,48.15121218031304
T0/test/25,T0,13,22.621984481811523,13.73286247253418,22.571041107177734,24.10837173461914,22.566110610961914,47.96082282496326
T0/test/26,T0,13,22.99867057800293,14.139113426208496,22.98933982849121,24.434772491455078,22.951801300048828,48.797606623794906
T0/test/27,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/28,T0,13,24.124332427978516,15.575460433959961,24.14353370666504,25.608552932739258,24.119522094726562,51.42993225794926
T0/test/29,T0,13,23.173635482788086,14.455875396728516,23.20511817932129,24.697416305541992,23.232627868652344,49.33745630394494
T0/test/3,T0,13,22.621984481811523,13.73286247253418,22.571041107177734,24.108373641967773,22.566110610961914,47.96082378372645
