conversation_id,scenario,layer,entropy_mean,entropy_std,baseline
T1/test/4,T1,6,1.396007,0.0,attention_entropy
T1/test/4,T1,7,1.6093352,0.0,attention_entropy
T1/test/4,T1,8,1.4181768,0.0,attention_entropy
T1/test/4,T1,9,1.5263537,0.0,attention_entropy
T1/test/4,T1,10,1.487253,0.0,attention_entropy
T1/test/4,T1,11,1.2927096,0.0,attention_entropy
T1/test/5,T1,0,0.37303498,0.0,attention_entropy
T1/test/5,T1,1,0.53691065,0.0,attention_entropy
T1/test/5,T1,2,0.5034977,0.0,attention_entropy
T1/test/5,T1,3,0.7930346,0.0,attention_entropy
T1/test/5,T1,4,0.9094412,0.0,attention_entropy
T1/test/5,T1,5,1.2115842,0.0,attention_entropy
T1/test/5,T1,6,1.1322552,0.0,attention_entropy
T1/test/5,T1,7,1.3031844,0.0,attention_entropy
T1/test/5,T1,8,1.2175486,0.0,attention_entropy
T1/test/5,T1,9,1.2839098,0.0,attention_entropy
T1/test/5,T1,10,1.2707253,0.0,attention_entropy
T1/test/5,T1,11,1.1827044,0.0,attention_entropy
T1/test/6,T1,0,0.37303498,0.0,attention_entropy
T1/test/6,T1,1,0.53691065,0.0,attention_entropy
T1/test/6,T1,2,0.5034977,0.0,attention_entropy
T1/test/6,T1,3,0.7930346,0.0,attention_entropy
T1/test/6,T1,4,0.9094412,0.0,attention_entropy
T1/test/6,T1,5,1.2115842,0.0,attention_entropy
T1/test/6,T1,6,1.1322552,0.0,attention_entropy
T1/test/6,T1,7,1.3031844,0.0,attention_entropy
T1/test/6,T1,8,1.2175486,0.0,attention_entropy
T1/test/6,T1,9,1.2839098,0.0,attention_entropy
T1/test/6,T1,10,1.2707253,0.0,attention_entropy
T1/test/6,T1,11,1.1827044,0.0,attention_entropy
T1/test/7,T1,0,0.31986573,0.0,attention_entropy
T1/test/7,T1,1,0.54739565,0.0,attention_entropy
T1/test/7,T1,2,0.6146656,0.0,attention_entropy
T1/test/7,T1,3,1.0341246,0.0,attention_entropy
T1/test/7,T1,4,1.1330867,0.0,attention_entropy
T1/test/7,T1,5,1.5943433,0.0,attention_entropy
T1/test/7,T1,6,1.4662626,0.0,attention_entropy
